"Yr","WD","CULocation","Surf","Flood","Spr","AcSWFl","AcSWSpr","AcGWFl","AcGWSpr","PumpingMax","GMode","AcTot","AcSW","AcGW","AcSpr","PercentAcGWtoAcTot"
1950,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,6834.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1951,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,7146.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1952,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,7646.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1953,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,7787.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1954,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,8401.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1955,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,9533.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1956,"01","0100503_I",0.610000,0.600000,0.800000,12720.100000,0.000000,7203.700000,0.000000,11718.000000,2,19923.700000,12720.100000,7203.700000,0.0000,36.1564
1957,"01","0100503_I",0.610000,0.600000,0.800000,12889.000000,0.000000,7298.900000,0.000000,12507.000000,2,20187.800000,12889.000000,7298.900000,0.0000,36.1550
1958,"01","0100503_I",0.610000,0.600000,0.800000,13057.800000,0.000000,7394.000000,0.000000,12507.000000,2,20451.900000,13057.800000,7394.000000,0.0000,36.1531
1959,"01","0100503_I",0.610000,0.600000,0.800000,13226.700000,0.000000,7489.200000,0.000000,12507.000000,2,20716.000000,13226.700000,7489.200000,0.0000,36.1518
1960,"01","0100503_I",0.610000,0.600000,0.800000,13395.600000,0.000000,7584.400000,0.000000,12571.000000,2,20980.000000,13395.600000,7584.400000,0.0000,36.1506
1961,"01","0100503_I",0.610000,0.600000,0.800000,13564.500000,0.000000,7679.600000,0.000000,12571.000000,2,21244.100000,13564.500000,7679.600000,0.0000,36.1493
1962,"01","0100503_I",0.610000,0.600000,0.800000,13733.400000,0.000000,7774.800000,0.000000,12571.000000,2,21508.200000,13733.400000,7774.800000,0.0000,36.1481
1963,"01","0100503_I",0.610000,0.600000,0.800000,13902.300000,0.000000,7870.000000,0.000000,12859.000000,2,21772.200000,13902.300000,7870.000000,0.0000,36.1470
1964,"01","0100503_I",0.610000,0.600000,0.800000,14071.200000,0.000000,7965.200000,0.000000,13141.000000,2,22036.300000,14071.200000,7965.200000,0.0000,36.1458
1965,"01","0100503_I",0.610000,0.600000,0.800000,14240.000000,0.000000,8060.300000,0.000000,14532.000000,2,22300.400000,14240.000000,8060.300000,0.0000,36.1442
1966,"01","0100503_I",0.610000,0.600000,0.800000,14408.900000,0.000000,8155.500000,0.000000,14532.000000,2,22564.400000,14408.900000,8155.500000,0.0000,36.1432
1967,"01","0100503_I",0.610000,0.600000,0.800000,14577.800000,0.000000,8250.700000,0.000000,14532.000000,2,22828.500000,14577.800000,8250.700000,0.0000,36.1421
1968,"01","0100503_I",0.610000,0.600000,0.800000,14746.700000,0.000000,8345.900000,0.000000,14532.000000,2,23092.600000,14746.700000,8345.900000,0.0000,36.1410
1969,"01","0100503_I",0.610000,0.600000,0.800000,14915.600000,0.000000,8441.100000,0.000000,14532.000000,2,23356.700000,14915.600000,8441.100000,0.0000,36.1400
1970,"01","0100503_I",0.610000,0.600000,0.800000,14492.800000,591.700000,8207.600000,328.700000,14532.000000,2,23620.700000,15084.500000,8536.300000,920.4000,36.1391
1971,"01","0100503_I",0.610000,0.600000,0.800000,14070.000000,1183.300000,7974.100000,657.400000,14532.000000,2,23884.800000,15253.300000,8631.500000,1840.7000,36.1380
1972,"01","0100503_I",0.610000,0.600000,0.800000,13647.200000,1775.000000,7740.600000,986.000000,14532.000000,2,24148.900000,15422.200000,8726.600000,2761.0000,36.1366
1973,"01","0100503_I",0.610000,0.600000,0.800000,13224.500000,2366.600000,7507.100000,1314.700000,14532.000000,2,24412.900000,15591.100000,8821.800000,3681.3000,36.1358
1974,"01","0100503_I",0.610000,0.600000,0.800000,12801.700000,2958.300000,7273.600000,1643.400000,14532.000000,2,24677.000000,15760.000000,8917.000000,4601.7000,36.1349
1975,"01","0100503_I",0.610000,0.600000,0.800000,12378.900000,3550.000000,7040.100000,1972.100000,14532.000000,2,24941.100000,15928.900000,9012.200000,5522.1000,36.1339
1976,"01","0100503_I",0.610000,0.600000,0.800000,11956.100000,4141.600000,6806.600000,2300.700000,14532.000000,2,25205.100000,16097.800000,9107.400000,6442.3000,36.1332
1977,"01","0100503_I",0.610000,0.600000,0.800000,11831.100000,4412.300000,6635.600000,2454.400000,14532.000000,2,25333.400000,16243.400000,9089.900000,6866.7000,35.8811
1978,"01","0100503_I",0.610000,0.600000,0.800000,11706.100000,4683.100000,6464.500000,2608.000000,14532.000000,2,25461.600000,16389.100000,9072.500000,7291.1000,35.6321
1979,"01","0100503_I",0.610000,0.600000,0.800000,11581.000000,4953.800000,6293.400000,2761.700000,14532.000000,2,25589.900000,16534.800000,9055.100000,7715.5000,35.3854
1980,"01","0100503_I",0.610000,0.600000,0.800000,11456.000000,5224.500000,6122.300000,2915.300000,14532.000000,2,25718.100000,16680.500000,9037.600000,8139.8000,35.1410
1981,"01","0100503_I",0.610000,0.600000,0.800000,11331.000000,5495.200000,5951.200000,3069.000000,14532.000000,2,25846.400000,16826.200000,9020.200000,8564.2000,34.8993
1982,"01","0100503_I",0.610000,0.600000,0.800000,11206.000000,5765.900000,5780.100000,3222.600000,14532.000000,2,25974.600000,16971.900000,9002.700000,8988.5000,34.6596
1983,"01","0100503_I",0.610000,0.600000,0.800000,11080.900000,6036.600000,5609.000000,3376.300000,14532.000000,2,26102.800000,17117.500000,8985.300000,9412.9000,34.4227
1984,"01","0100503_I",0.610000,0.600000,0.800000,10955.900000,6307.300000,5438.000000,3529.900000,14532.000000,2,26231.100000,17263.200000,8967.900000,9837.2000,34.1880
1985,"01","0100503_I",0.610000,0.600000,0.800000,10830.900000,6578.000000,5266.900000,3683.500000,14532.000000,2,26359.300000,17408.900000,8950.400000,10261.5000,33.9554
1986,"01","0100503_I",0.610000,0.600000,0.800000,10705.800000,6848.800000,5095.800000,3837.200000,14532.000000,2,26487.600000,17554.600000,8933.000000,10686.0000,33.7252
1987,"01","0100503_I",0.610000,0.600000,0.800000,10580.800000,7119.500000,4924.700000,3990.800000,14532.000000,2,26615.800000,17700.300000,8915.500000,11110.3000,33.4970
1988,"01","0100503_I",0.610000,0.600000,0.800000,10444.300000,7427.700000,4902.900000,4038.000000,14854.000000,2,26812.900000,17872.000000,8940.900000,11465.7000,33.3455
1989,"01","0100503_I",0.610000,0.600000,0.800000,10307.700000,7736.000000,4881.100000,4085.200000,14854.000000,2,27010.000000,18043.700000,8966.300000,11821.2000,33.1962
1990,"01","0100503_I",0.610000,0.600000,0.800000,10171.100000,8044.300000,4859.300000,4132.400000,14854.000000,2,27207.100000,18215.400000,8991.700000,12176.7000,33.0491
1991,"01","0100503_I",0.610000,0.600000,0.800000,10034.600000,8352.500000,4837.500000,4179.700000,14854.000000,2,27404.200000,18387.100000,9017.100000,12532.2000,32.9041
1992,"01","0100503_I",0.610000,0.600000,0.800000,9898.000000,8660.800000,4815.700000,4226.900000,14854.000000,2,27601.300000,18558.800000,9042.500000,12887.7000,32.7611
1993,"01","0100503_I",0.610000,0.600000,0.800000,9761.400000,8969.100000,4793.900000,4274.100000,14854.000000,2,27798.500000,18730.500000,9067.900000,13243.2000,32.6201
1994,"01","0100503_I",0.610000,0.600000,0.800000,9624.900000,9277.400000,4772.100000,4321.300000,14854.000000,2,27995.600000,18902.200000,9093.300000,13598.7000,32.4812
1995,"01","0100503_I",0.610000,0.600000,0.800000,9488.300000,9585.600000,4750.300000,4368.500000,14854.000000,2,28192.700000,19073.900000,9118.700000,13954.1000,32.3442
1996,"01","0100503_I",0.610000,0.600000,0.800000,9351.700000,9893.900000,4728.400000,4415.700000,14955.000000,2,28389.800000,19245.600000,9144.100000,14309.6000,32.2091
1997,"01","0100503_I",0.610000,0.600000,0.800000,9215.200000,10202.200000,4706.600000,4462.900000,14955.000000,2,28586.900000,19417.400000,9169.500000,14665.1000,32.0759
1998,"01","0100503_I",0.610000,0.600000,0.800000,9241.100000,10183.600000,4690.200000,4491.100000,14955.000000,2,28606.000000,19424.600000,9181.300000,14674.7000,32.0957
1999,"01","0100503_I",0.610000,0.600000,0.800000,9266.900000,10165.000000,4673.700000,4519.400000,14955.000000,2,28625.000000,19431.900000,9193.100000,14684.4000,32.1156
2000,"01","0100503_I",0.610000,0.600000,0.800000,9292.800000,10146.400000,4657.200000,4547.700000,14955.000000,2,28644.100000,19439.200000,9204.900000,14694.1000,32.1354
2001,"01","0100503_I",0.610000,0.600000,0.800000,9318.700000,10127.800000,4640.800000,4575.900000,14955.000000,2,28663.200000,19446.500000,9216.700000,14703.7000,32.1552
2002,"01","0100503_I",0.610000,0.600000,0.800000,8841.800000,10296.000000,4297.400000,4539.200000,14955.000000,2,27974.400000,19137.700000,8836.700000,14835.2000,31.5885
2003,"01","0100503_I",0.610000,0.600000,0.800000,8364.800000,10464.200000,3954.100000,4502.500000,14955.000000,2,27285.600000,18829.000000,8456.600000,14966.7000,30.9929
2004,"01","0100503_I",0.610000,0.600000,0.800000,7887.800000,10632.400000,3610.800000,4465.800000,14955.000000,2,26596.800000,18520.200000,8076.600000,15098.2000,30.3668
2005,"01","0100503_I",0.610000,0.600000,0.800000,7410.800000,10800.600000,3267.500000,4429.100000,14955.000000,2,25908.100000,18211.500000,7696.600000,15229.7000,29.7073
2006,"01","0100503_I",0.610000,0.600000,0.800000,7440.700000,10922.400000,3044.600000,4907.400000,14955.000000,2,26315.100000,18363.100000,7952.000000,15829.8000,30.2184
2007,"01","0100503_I",0.610000,0.600000,0.800000,7470.600000,11044.100000,2821.600000,5385.800000,14955.000000,2,26722.100000,18514.700000,8207.400000,16429.9000,30.7139
2008,"01","0100503_I",0.610000,0.600000,0.800000,7500.400000,11165.800000,2598.700000,5864.100000,14955.000000,2,27129.100000,18666.300000,8462.800000,17029.9000,31.1945
2009,"01","0100503_I",0.610000,0.600000,0.800000,7530.300000,11287.600000,2375.700000,6342.500000,14955.000000,2,27536.000000,18817.900000,8718.200000,17630.1000,31.6611
2010,"01","0100503_I",0.610000,0.600000,0.800000,7560.100000,11409.300000,2152.700000,6820.800000,14955.000000,2,27943.000000,18969.400000,8973.600000,18230.1000,32.1139
2011,"01","0100503_I",0.610000,0.600000,0.800000,7560.100000,11409.300000,2152.700000,6820.800000,14955.000000,2,27943.000000,18969.400000,8973.600000,18230.1000,32.1139
2012,"01","0100503_I",0.610000,0.600000,0.800000,7560.100000,11409.300000,2152.700000,6820.800000,14955.000000,2,27943.000000,18969.400000,8973.600000,18230.1000,32.1139
2013,"01","0100503_I",0.610000,0.600000,0.800000,7560.100000,11409.300000,2152.700000,6820.800000,14955.000000,2,27943.000000,18969.400000,8973.600000,18230.1000,32.1139
1950,"01","0100507_I",0.760000,0.600000,0.800000,8714.200000,0.000000,20806.500000,0.000000,44328.000000,2,29520.700000,8714.200000,20806.500000,0.0000,70.4811
1951,"01","0100507_I",0.760000,0.600000,0.800000,8714.200000,0.000000,20806.500000,0.000000,45594.000000,2,29520.700000,8714.200000,20806.500000,0.0000,70.4811
